Time Stamp,CPU0 (0x14e4) [FW 4.98.23.71],CPU0 CORES CORE0 Temp,CPU0 CORES CORE1 Temp,CPU0 CORES CORE2 Temp,CPU0 CORES CORE3 Temp,CPU0 CORES CORE4 Temp,CPU0 CORES CORE5 Temp,CPU0 CORES CORE6 Temp,CPU0 CORES CORE7 Temp,CPU0 CORES CORE8 Temp,CPU0 CORES CORE9 Temp,CPU0 CORES CORE10 Temp,CPU0 CORES CORE11 Temp,CPU0 CORES CORE12 Temp,CPU0 CORES CORE13 Temp,CPU0 CORES CORE14 Temp,CPU0 CORES CORE15 Temp,CPU0 CORES CORE0 Freq Eff,CPU0 CORES CORE1 Freq Eff,CPU0 CORES CORE2 Freq Eff,CPU0 CORES CORE3 Freq Eff,CPU0 CORES CORE4 Freq Eff,CPU0 CORES CORE5 Freq Eff,CPU0 CORES CORE6 Freq Eff,CPU0 CORES CORE7 Freq Eff,CPU0 CORES CORE8 Freq Eff,CPU0 CORES CORE9 Freq Eff,CPU0 CORES CORE10 Freq Eff,CPU0 CORES CORE11 Freq Eff,CPU0 CORES CORE12 Freq Eff,CPU0 CORES CORE13 Freq Eff,CPU0 CORES CORE14 Freq Eff,CPU0 CORES CORE15 Freq Eff,CPU0 CORES CORE0 C0,CPU0 CORES CORE1 C0,CPU0 CORES CORE2 C0,CPU0 CORES CORE3 C0,CPU0 CORES CORE4 C0,CPU0 CORES CORE5 C0,CPU0 CORES CORE6 C0,CPU0 CORES CORE7 C0,CPU0 CORES CORE8 C0,CPU0 CORES CORE9 C0,CPU0 CORES CORE10 C0,CPU0 CORES CORE11 C0,CPU0 CORES CORE12 C0,CPU0 CORES CORE13 C0,CPU0 CORES CORE14 C0,CPU0 CORES CORE15 C0,CPU0 CORES CORE0 CC1,CPU0 CORES CORE1 CC1,CPU0 CORES CORE2 CC1,CPU0 CORES CORE3 CC1,CPU0 CORES CORE4 CC1,CPU0 CORES CORE5 CC1,CPU0 CORES CORE6 CC1,CPU0 CORES CORE7 CC1,CPU0 CORES CORE8 CC1,CPU0 CORES CORE9 CC1,CPU0 CORES CORE10 CC1,CPU0 CORES CORE11 CC1,CPU0 CORES CORE12 CC1,CPU0 CORES CORE13 CC1,CPU0 CORES CORE14 CC1,CPU0 CORES CORE15 CC1,CPU0 CORES CORE0 CC6,CPU0 CORES CORE1 CC6,CPU0 CORES CORE2 CC6,CPU0 CORES CORE3 CC6,CPU0 CORES CORE4 CC6,CPU0 CORES CORE5 CC6,CPU0 CORES CORE6 CC6,CPU0 CORES CORE7 CC6,CPU0 CORES CORE8 CC6,CPU0 CORES CORE9 CC6,CPU0 CORES CORE10 CC6,CPU0 CORES CORE11 CC6,CPU0 CORES CORE12 CC6,CPU0 CORES CORE13 CC6,CPU0 CORES CORE14 CC6,CPU0 CORES CORE15 CC6,CPU0 CORES CORE0 OS PState,CPU0 CORES CORE1 OS PState,CPU0 CORES CORE2 OS PState,CPU0 CORES CORE3 OS PState,CPU0 CORES CORE4 OS PState,CPU0 CORES CORE5 OS PState,CPU0 CORES CORE6 OS PState,CPU0 CORES CORE7 OS PState,CPU0 CORES CORE8 OS PState,CPU0 CORES CORE9 OS PState,CPU0 CORES CORE10 OS PState,CPU0 CORES CORE11 OS PState,CPU0 CORES CORE12 OS PState,CPU0 CORES CORE13 OS PState,CPU0 CORES CORE14 OS PState,CPU0 CORES CORE15 OS PState,CPU0 CORES CORE0 CPPC MAX Freq,CPU0 CORES CORE1 CPPC MAX Freq,CPU0 CORES CORE2 CPPC MAX Freq,CPU0 CORES CORE3 CPPC MAX Freq,CPU0 CORES CORE4 CPPC MAX Freq,CPU0 CORES CORE5 CPPC MAX Freq,CPU0 CORES CORE6 CPPC MAX Freq,CPU0 CORES CORE7 CPPC MAX Freq,CPU0 CORES CORE8 CPPC MAX Freq,CPU0 CORES CORE9 CPPC MAX Freq,CPU0 CORES CORE10 CPPC MAX Freq,CPU0 CORES CORE11 CPPC MAX Freq,CPU0 CORES CORE12 CPPC MAX Freq,CPU0 CORES CORE13 CPPC MAX Freq,CPU0 CORES CORE14 CPPC MAX Freq,CPU0 CORES CORE15 CPPC MAX Freq,CPU0 CORES CORE0 CPPC MIN Freq,CPU0 CORES CORE1 CPPC MIN Freq,CPU0 CORES CORE2 CPPC MIN Freq,CPU0 CORES CORE3 CPPC MIN Freq,CPU0 CORES CORE4 CPPC MIN Freq,CPU0 CORES CORE5 CPPC MIN Freq,CPU0 CORES CORE6 CPPC MIN Freq,CPU0 CORES CORE7 CPPC MIN Freq,CPU0 CORES CORE8 CPPC MIN Freq,CPU0 CORES CORE9 CPPC MIN Freq,CPU0 CORES CORE10 CPPC MIN Freq,CPU0 CORES CORE11 CPPC MIN Freq,CPU0 CORES CORE12 CPPC MIN Freq,CPU0 CORES CORE13 CPPC MIN Freq,CPU0 CORES CORE14 CPPC MIN Freq,CPU0 CORES CORE15 CPPC MIN Freq,CPU0 INFRASTRUCTURE Limit STAPM,CPU0 INFRASTRUCTURE Value STAPM,CPU0 INFRASTRUCTURE Limit PPT FAST,CPU0 INFRASTRUCTURE Value PPT FAST,CPU0 INFRASTRUCTURE Limit PPT SLOW,CPU0 INFRASTRUCTURE Value PPT SLOW,CPU0 INFRASTRUCTURE Limit PPT APU ONLY,CPU0 INFRASTRUCTURE Value PPT APU ONLY,CPU0 INFRASTRUCTURE Limit TDC,CPU0 INFRASTRUCTURE Value TDC,CPU0 INFRASTRUCTURE Limit THM,CPU0 INFRASTRUCTURE Value THM,CPU0 INFRASTRUCTURE Limit STT APU,CPU0 INFRASTRUCTURE Value STT APU,CPU0 INFRASTRUCTURE Limit STT HS2,CPU0 INFRASTRUCTURE Value STT HS2,CPU0 Power Correlation SOCKET Power,CPU0 SVI Set Voltage VDDCR_VDD,CPU0 SVI Telemetry Voltage VDDCR_VDD,CPU0 SVI Telemetry Current VDDCR_VDD,CPU0 SVI Telemetry Power VDDCR_VDD,CPU0 SVI Telemetry Temp VDDCR_VDD,CPU0 SVI Set Voltage VDDCR_SOC,CPU0 SVI Telemetry Voltage VDDCR_SOC,CPU0 SVI Telemetry Current VDDCR_SOC,CPU0 SVI Telemetry Power VDDCR_SOC,CPU0 SVI Telemetry Temp VDDCR_SOC,CPU0 SVI Set Voltage VDD_MISC,CPU0 SVI Telemetry Voltage VDD_MISC,CPU0 SVI Telemetry Current VDD_MISC,CPU0 SVI Telemetry Power VDD_MISC,CPU0 SVI Telemetry Temp VDD_MISC,CPU0 EDC EDC Limit,CPU0 EDC Peak Telemetry Current,CPU0 EDC PCC Limit,CPU0 EDC PCC Residency,CPU0 GFX GFX Temp,CPU0 GFX GFX Freq Eff,CPU0 GFX GFX Busy,CPU0 GFX GFX GFXOFF,CPU0 GMI BER GMI0 Master Threhold,CPU0 GMI BER GMI1 Master Threhold,CPU0 GMI BER GMI0 Slave Threhold,CPU0 GMI BER GMI1 Slave Threhold,CPU0 GMI BER GMI0 Master Accumulator,CPU0 GMI BER GMI1 Master Accumulator,CPU0 GMI BER GMI0 Slave Accumulator,CPU0 GMI BER GMI1 Slave Accumulator,CPU0 MISC VRHOT Residency,CPU0 MISC PROCHOT Residency,CPU0 MISC PC6 Residency All CCXs,CPU0 MISC PC6 Residency CCX0,CPU0 MISC PC6 Residency CCX1,CPU0 MISC VDD OFF Residency,CPU0 MISC S0i3 with GFX On Count,CPU0 MISC S0i3 All Cycles Count,CPU0 MISC dGPU Power,CPU0 MISC dGPU PDG Request,CPU0 MISC Power Source,CPU0 MISC STAPM Time Constant,CPU0 MISC Slow PPT Time Constant,
--[ 16.09.2025 14:23:38.994 ] --,CPU0 (0x14e4),54.631,54.057,54.853,53.947,54.292,59.040,54.346,87.290,51.290,54.270,50.223,53.531,50.277,52.260,50.749,50.964,0.031,0.152,0.168,0.051,0.011,0.016,0.013,4.328,0.354,1.162,0.001,0.256,0.025,0.295,0.032,0.000,2.36,3.85,3.52,1.21,0.36,0.38,0.31,85.88,7.67,23.76,0.17,10.99,0.84,6.88,1.04,0.25,21.17,4.80,1.39,1.94,2.31,1.26,1.01,1.12,10.62,19.92,1.45,18.46,1.70,10.88,1.67,0.15,76.59,91.41,95.14,96.85,97.34,98.36,98.68,13.01,81.80,56.71,98.42,70.76,97.49,82.30,97.34,99.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,7.853,195.000,41.805,162.000,34.587,85.000,0.000,140.000,19.813,100.000,89.470,0.000,0.000,0.000,0.000,41.903,1.190,1.191,19.881,24.607,40.214,0.955,0.949,6.937,6.583,38.228,1.100,1.100,5.024,5.524,36.451,176.000,48.000,212.000,0.00,64.030,56.62,10.27,71.82,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,2.46,4.25,36.70,2.32,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:40.002 ] --,CPU0 (0x14e4),54.760,54.304,54.593,54.923,54.895,60.625,55.137,87.357,56.430,53.637,52.627,55.818,53.893,52.643,61.648,51.732,0.015,0.002,0.004,0.001,0.000,0.000,0.000,5.129,1.445,0.109,0.001,0.672,0.009,0.036,2.303,0.000,0.86,0.81,0.27,0.17,0.16,0.05,0.16,100.00,27.72,6.57,0.36,14.60,1.92,1.72,44.11,0.17,4.10,3.27,2.46,1.25,0.95,0.31,0.04,0.00,16.96,8.38,1.22,11.95,2.08,4.49,8.39,0.19,95.04,95.93,97.27,98.58,98.88,99.64,99.80,0.00,55.32,85.27,98.42,73.51,96.00,93.81,47.50,99.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,7.927,195.000,47.468,162.000,34.919,85.000,0.000,140.000,23.795,100.000,87.364,0.000,0.000,0.000,0.000,47.457,1.261,1.256,23.787,29.883,41.329,0.955,0.950,7.089,6.735,37.998,1.100,1.100,5.261,5.787,36.547,176.000,50.750,212.000,0.00,64.398,5.77,0.48,98.22,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,8.63,0.00,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:41.008 ] --,CPU0 (0x14e4),54.747,53.872,54.430,54.181,54.740,59.178,54.998,82.806,51.498,51.550,50.440,51.373,50.627,50.921,51.182,50.707,0.014,0.001,0.001,0.000,0.000,0.000,0.000,5.153,0.363,0.076,0.001,0.069,0.020,0.004,0.053,0.000,0.98,0.57,0.12,0.09,0.06,0.02,0.01,100.00,7.17,4.69,0.20,2.65,0.60,0.95,1.44,0.03,8.02,2.47,0.49,0.06,0.05,0.03,0.02,0.00,4.04,13.08,0.13,7.78,1.04,2.49,0.20,0.07,91.01,96.97,99.39,99.85,99.89,99.95,99.97,0.00,88.87,82.83,99.70,89.65,98.36,96.60,98.37,99.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,7.993,195.000,35.240,162.000,35.120,85.000,0.000,140.000,15.715,100.000,82.824,0.000,0.000,0.000,0.000,35.201,1.262,1.260,15.686,19.788,41.169,0.955,0.950,6.237,5.925,37.820,1.100,1.100,4.068,4.474,36.001,176.000,35.750,212.000,0.00,63.824,4.90,0.41,98.73,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,64.13,0.00,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:42.020 ] --,CPU0 (0x14e4),53.126,51.549,52.772,51.199,52.955,51.946,53.226,55.636,49.110,50.567,48.771,50.339,48.834,50.251,49.367,50.042,0.005,0.000,0.000,0.000,0.000,0.000,0.000,1.249,0.055,0.127,0.000,0.041,0.000,0.075,0.003,0.000,0.51,0.19,0.05,0.02,0.02,0.01,0.01,24.97,1.29,4.89,0.15,2.66,0.26,2.08,0.22,0.02,2.86,0.76,0.11,0.03,0.03,0.02,0.02,12.47,1.60,6.92,0.03,8.17,0.11,1.55,0.13,0.02,97.13,99.05,99.89,99.95,99.95,99.97,99.97,63.15,97.16,88.87,99.82,89.32,99.66,96.46,99.67,99.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.031,195.000,18.588,162.000,34.854,85.000,0.000,140.000,5.037,100.000,65.295,0.000,0.000,0.000,0.000,18.528,0.724,0.762,5.005,5.349,39.019,0.955,0.948,5.527,5.237,37.794,1.100,1.096,2.674,2.933,35.004,176.000,30.750,212.000,0.00,62.942,4.97,0.38,98.72,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,45.37,50.18,63.86,43.55,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:43.037 ] --,CPU0 (0x14e4),52.211,50.361,51.752,50.011,51.895,50.216,52.164,51.793,48.218,49.909,47.958,49.769,48.101,49.562,48.520,49.492,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.413,0.010,0.091,0.000,0.067,0.069,0.005,0.005,0.000,1.15,0.05,0.08,0.02,0.04,0.01,0.01,8.89,0.73,5.27,0.21,3.75,1.55,0.99,0.43,0.02,4.85,0.11,0.14,0.03,0.04,0.03,0.02,7.71,0.80,9.69,0.11,6.20,0.14,2.82,0.71,0.02,94.77,99.89,99.77,99.94,99.92,99.96,99.97,84.31,98.47,85.59,99.68,90.25,98.31,96.19,98.87,99.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.048,195.000,16.674,162.000,34.235,85.000,0.000,140.000,3.877,100.000,64.180,0.000,0.000,0.000,0.000,16.677,0.624,0.679,3.877,3.761,37.114,0.955,0.947,5.421,5.132,37.773,1.100,1.096,2.561,2.806,34.315,176.000,33.750,212.000,0.00,62.374,4.95,0.39,98.41,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,54.74,61.59,58.17,52.11,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:44.049 ] --,CPU0 (0x14e4),64.340,66.125,65.154,67.736,65.297,67.970,64.839,67.414,64.211,69.785,64.856,74.212,65.051,70.731,64.429,66.252,2.294,2.224,2.229,2.224,2.232,2.223,2.224,2.243,2.455,3.091,2.332,3.563,2.438,2.721,2.339,2.306,61.70,60.21,60.31,60.19,60.27,60.16,60.15,61.05,64.50,75.17,61.14,83.72,63.20,68.35,62.05,60.44,26.42,0.94,0.75,0.81,0.76,0.85,0.82,2.98,25.04,16.31,1.97,7.36,0.80,21.52,11.03,1.06,11.88,38.85,38.93,39.00,38.97,38.99,39.03,36.01,10.51,8.61,36.89,8.94,35.99,10.15,26.92,38.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.132,195.000,101.452,162.000,34.758,85.000,0.000,140.000,92.764,100.000,77.901,0.000,0.000,0.000,0.000,101.924,0.975,0.953,93.312,83.321,43.874,0.955,0.948,7.687,7.288,38.561,1.100,1.099,5.192,5.709,36.234,176.000,184.750,212.000,0.00,65.014,342.70,27.95,56.31,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,6.28,8.56,6.39,6.01,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:45.057 ] --,CPU0 (0x14e4),74.216,79.566,76.643,82.811,76.954,83.321,75.965,82.087,74.181,73.944,76.716,77.373,76.901,78.230,75.881,76.170,3.576,3.576,3.576,3.576,3.576,3.576,3.576,3.576,3.684,3.684,3.684,3.684,3.684,3.684,3.684,3.684,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.372,195.000,131.072,162.000,37.815,85.000,0.000,140.000,140.002,100.000,83.322,0.000,0.000,0.000,0.000,131.069,0.833,0.794,140.002,111.190,53.059,0.955,0.948,8.090,7.666,39.000,1.100,1.100,5.583,6.140,37.341,176.000,180.750,212.000,0.00,67.100,5.68,0.44,98.39,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:46.067 ] --,CPU0 (0x14e4),75.198,80.849,77.600,84.082,77.841,84.532,76.892,83.183,74.929,74.659,77.695,77.995,77.889,78.817,76.912,76.842,3.574,3.574,3.574,3.574,3.574,3.574,3.574,3.574,3.682,3.682,3.682,3.682,3.682,3.682,3.682,3.682,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.618,195.000,130.991,162.000,40.894,85.000,0.000,140.000,140.005,100.000,84.535,0.000,0.000,0.000,0.000,130.996,0.833,0.794,140.012,111.198,56.134,0.955,0.948,8.074,7.651,39.000,1.100,1.100,5.515,6.065,38.306,176.000,176.750,212.000,0.00,67.850,5.00,0.41,98.70,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:47.076 ] --,CPU0 (0x14e4),75.701,81.372,78.073,84.614,78.331,85.111,77.409,83.840,75.490,75.158,78.145,78.467,78.266,79.315,77.284,77.302,3.573,3.573,3.573,3.573,3.573,3.573,3.573,3.573,3.680,3.680,3.680,3.680,3.680,3.680,3.680,3.680,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,8.864,195.000,131.048,162.000,43.868,85.000,0.000,140.000,139.992,100.000,85.113,0.000,0.000,0.000,0.000,131.039,0.833,0.794,139.978,111.198,58.239,0.955,0.947,8.098,7.673,39.135,1.100,1.100,5.540,6.093,39.309,176.000,171.250,212.000,0.00,68.263,4.81,0.40,98.73,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000,0.0,AC  ,500,30,
--[ 16.09.2025 14:23:48.084 ] --,CPU0 (0x14e4),76.148,81.765,78.530,85.099,78.689,85.598,77.815,84.323,75.720,75.670,78.437,78.980,78.706,79.786,77.635,77.825,3.573,3.573,3.573,3.573,3.573,3.573,3.573,3.573,3.678,3.678,3.678,3.678,3.678,3.678,3.678,3.678,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,5.450,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,135.000,9.110,195.000,131.270,162.000,46.751,85.000,0.000,140.000,140.006,100.000,85.606,0.000,0.000,0.000,0.000,131.276,0.834,0.795,140.015,111.289,60.153,0.955,0.948,8.153,7.726,39.958,1.100,1.100,5.618,6.180,40.001,176.000,166.500,212.000,0.00,68.621,5.10,0.34,98.67,25.000,25.000,25.000,25.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000,0.0,AC  ,500,30,
