date,time,1:t_gpu,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:p_state,1:pwr_tgp,1:pwr_nvvdd,1:pwr_fbvdd,1:NVVDD,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:pcie_bw_TX,1:pcie_bw_RX,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:d_notifier_limit,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:cpu_pstate,1:cpu_cap,1:cpu_temp
2022/09/06,17:22:01,50.8438,1560,100 %,9000,99,62,0,5500,N/A,N/A,0.831250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,78
2022/09/06,17:22:03,52.0938,1530,100 %,9000,99,69,0,149233,82384,61349,0.856250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,79
2022/09/06,17:22:04,53.3125,1650,100 %,9000,100,64,0,149587,83092,60995,0.856250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,80
2022/09/06,17:22:05,54.5938,1530,100 %,9000,100,64,0,149576,82705,61371,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,82
2022/09/06,17:22:06,55.6563,1515,100 %,9000,99,69,0,149410,82443,61467,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,83
2022/09/06,17:22:07,56.25,1650,100 %,9000,99,63,0,149349,82414,61435,0.856250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,83
2022/09/06,17:22:08,57.25,1575,100 %,9000,99,63,0,149822,82970,61352,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,84
2022/09/06,17:22:09,57.8438,1455,100 %,9000,99,70,0,149711,81983,62228,0.787500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,85
2022/09/06,17:22:10,58.6875,1530,100 %,9000,99,64,0,149241,81596,62145,0.806250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,85
2022/09/06,17:22:11,59,1605,100 %,9000,99,63,0,148916,82270,61146,0.837500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,88
2022/09/06,17:22:12,59.9063,1455,100 %,9000,99,69,0,149881,82302,62079,0.781250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,88
2022/09/06,17:22:13,60.4688,1485,100 %,9000,100,62,0,149225,82168,61557,0.787500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,88
2022/09/06,17:22:14,61,1530,100 %,9000,100,62,0,148856,82204,61152,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,88
2022/09/06,17:22:15,61.4375,1575,100 %,9000,99,68,0,149134,81752,61882,0.831250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,89
2022/09/06,17:22:16,62.3125,1650,100 %,9000,99,62,0,149498,82215,61783,0.862500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,90
2022/09/06,17:22:17,62.9688,1605,100 %,9000,99,62,0,149914,83816,60598,0.837500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,89
2022/09/06,17:22:18,63.2813,1470,100 %,9000,99,68,0,149584,81740,62344,0.781250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:19,63.7188,1590,100 %,9000,99,61,0,149105,81999,61606,0.831250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,91
2022/09/06,17:22:20,64.1563,1605,100 %,9000,99,60,0,149774,82650,61624,0.843750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:21,64.7188,1470,100 %,9000,99,67,0,149309,81480,62329,0.787500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:22,65,1560,100 %,9000,99,61,0,149695,81910,62285,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:24,65.3125,1500,100 %,9000,99,60,0,149178,81689,61989,0.825000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:25,65.75,1470,100 %,9000,99,69,0,149729,81441,62788,0.781250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,91
2022/09/06,17:22:26,66.3125,1530,100 %,9000,100,62,0,149351,81570,62281,0.806250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,94
2022/09/06,17:22:27,66.6563,1545,100 %,9000,99,62,0,149702,82546,61656,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,93
2022/09/06,17:22:28,66.8438,1560,100 %,9000,99,68,0,149247,81102,62645,0.825000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,94
2022/09/06,17:22:29,67.4688,1545,100 %,9000,99,62,0,149761,81639,62622,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:22:30,67.7813,1500,100 %,9000,99,63,0,149504,81795,62209,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:22:31,68.0313,1455,100 %,9000,99,68,0,149623,80918,63205,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:22:32,68.2188,1545,100 %,9000,100,61,0,148985,81540,61945,0.831250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:33,68.5938,1485,100 %,9000,100,61,0,149608,81787,62321,0.781250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:34,68.8125,1410,100 %,9000,99,69,0,149090,80364,63226,0.762500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:22:35,68.8438,1560,100 %,9000,99,62,0,148865,80605,62760,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:36,69.5625,1545,100 %,9000,99,62,0,149943,81563,62880,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,98
2022/09/06,17:22:37,69.7188,1530,100 %,9000,99,68,0,149124,80209,63415,0.825000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:38,69.6875,1530,100 %,9000,100,60,0,149741,81622,62619,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,87
2022/09/06,17:22:39,70.125,1560,100 %,9000,100,61,0,149746,82113,62133,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
