Iteration,Date,Timestamp,1:GPU State,1:RTD3 Enabled,1:RTD3 Support Type,1:GC6 Enabled,1:Total Time In GC6 (ms),1:GC6 Average Entry Latency (ms),1:GC6 Average Exit Latency (ms),1:GC6 Transition Count,1:Not Enter GC6 Reason,1:GC-OFF Enabled,1:Total Time In GCOFF (ms),1:GCOFF Average Entry Latency (ms),1:GCOFF Average Exit Latency (ms),1:GCOFF Transition Count,1:Not Enter GCOFF Reason,1:Temperature GPU (C),1:Temperature Memory (C),1:Target Temperature (C),1:GPC Clock (MHz),1:Memory Clock (MHz),1:GPC Slowdown Factor (%),1:GPU Utilization (%),1:FB Utilization (%),1:Video Utilization (%),1:P-State,1:Capping Reason,1:D-Notifier Limit,1:GPU Power Sample Timestamp (ns),1:TGP (W),1:NVVDD Power (W),1:FBVDD Power (W),1:Total System Power (W),1:TSP Rail Current (A),1:TSP Rail Voltage (V),1:TSP Rail Energy (J),CPU Power Sample Timestamp (us),CPU TDP (W),1:TPP Measured (W),1:NVVDD Voltage (uV),1:GPU Boost Limit (mW),1:PPAB State,1:AC Target TPP Limit (mW),1:AC Default GPU Limit (mW),1:AC Max GPU Limit (mW),1:AC Min GPU Limit (mW),1:AC Configurable TGP Offset (mW),1:AC Max GPU Offset (mW),1:AC Min GPU Offset (mW),1:AC Target TPP Offset (mW),1:DC Target TPP Limit (mW),1:DC CPU TDP Limit (mW),1:DC Default GPU Limit (mW),1:DC Max GPU Limit (mW),1:DC Min GPU Limit (mW),1:DC ROS Reserve Override (mW),1:Current Long Timescale Battery Current Limit (mA),1:Current Short Timescale Battery Current Limit (mA),Power Supply Mode,Battery Charge Level (%),Remaining Capacity (mWh),Voltage (mV),Current (mA),Drain Rate (mW),CPU Clock (MHz),CPU Utilization (%),CPU Temperature (C),CPU PROCHOT Asserted,CPU Thermal Throttling,CPU Thermal Limit (C),CPU PL1 (W),CPU PL2 (W),1:PCIE GPU Link Width (lanes),1:PCIE GPU Speed (Gen),1:PCIE GPU L0s,1:PCIE GPU L1,1:PCIE Root Link Width (lanes),1:PCIE Root Speed (Gen),1:PCIE Root L0s,1:PCIE Root L1,1:GPU Correctable Error,1:GPU Non Fatal Error,1:GPU Fatal Error,1:GPU Unsupport Request,1:Root Correctable Error,1:Root Non Fatal Error,1:Root Fatal Error,1:Root Unsupport Request,1:BB2 Enabled,1:BB2 Target TPP (mW),1:WM2 Platform Enabled,1:WM2 Driver Enabled,1:Sound Pressure Level,1:WM2 Update Event Count,1:Tband0 Current Index,1:Tband0 Current Tempearature (C),1:Tband1 Current Index,1:Tband1 Current Tempearature (C),1:Tband2 Current Index,1:Tband2 Current Tempearature (C),1:Tband3 Current Index,1:Tband3 Current Tempearature (C),1:Tband4 Current Index,1:Tband4 Current Tempearature (C),1:Tband5 Current Index,1:Tband5 Current Tempearature (C),1:Tband6 Current Index,1:Tband6 Current Tempearature (C),1:Tband7 Current Index,1:Tband7 Current Tempearature (C),1:DB-DC Rest of System Power (mW),1:DB-DC Battery Current Limit (mA),1:Gsync VRR Enabled,1:Platform Thermal Sensor 0 Limit (C),1:Platform Thermal Sensor 0 Tempearature (C),1:Platform Thermal Sensor 1 Limit (C),1:Platform Thermal Sensor 1 Tempearature (C),1:Platform Thermal Sensor 2 Limit (C),1:Platform Thermal Sensor 2 Tempearature (C),1:Platform Thermal Sensor 3 Limit (C),1:Platform Thermal Sensor 3 Tempearature (C),1:Platform Thermal Sensor 4 Limit (C),1:Platform Thermal Sensor 4 Tempearature (C),1:Platform Thermal Sensor 5 Limit (C),1:Platform Thermal Sensor 5 Tempearature (C),1:Platform Thermal Sensor 6 Limit (C),1:Platform Thermal Sensor 6 Tempearature (C),1:Platform Thermal Sensor 7 Limit (C),1:Platform Thermal Sensor 7 Tempearature (C),1:Platform Thermal Sensor 8 Limit (C),1:Platform Thermal Sensor 8 Tempearature (C),1:Platform Thermal Sensor 9 Limit (C),1:Platform Thermal Sensor 9 Tempearature (C),1:Platform Thermal Sensor 10 Limit (C),1:Platform Thermal Sensor 10 Tempearature (C),1:Platform Thermal Sensor 11 Limit (C),1:Platform Thermal Sensor 11 Tempearature (C),1:Platform Thermal Sensor 12 Limit (C),1:Platform Thermal Sensor 12 Tempearature (C),1:Platform Thermal Sensor 13 Limit (C),1:Platform Thermal Sensor 13 Tempearature (C),1:Platform Thermal Sensor 14 Limit (C),1:Platform Thermal Sensor 14 Tempearature (C),1:Platform Thermal Sensor 15 Limit (C),1:Platform Thermal Sensor 15 Tempearature (C)
0,2025/02/17,22:44:15:099,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,38.69,48.00,87.00,1522,14001,100,0,0,0,P0,Pwr ,D1 - Unlimited,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82913576,N/A,N/A,740000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16013,0,0,N/A,N/A,72.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2025/02/17,22:44:16:103,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,53.69,50.00,87.00,1875,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,5430388064,175.04,130.46,11.52,0.42,0.03,16.02,69.08,83900589,27.50,202.55,775000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16013,0,0,5036,10.08,69.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2025/02/17,22:44:17:108,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,54.91,50.00,87.00,1867,14001,100,100,3,0,P0,Pwr ,D1 - Unlimited,6431359712,174.95,129.31,12.54,0.42,0.03,16.02,69.51,84901572,27.02,201.97,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16013,0,0,5024,10.13,63.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2025/02/17,22:44:18:114,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,55.81,50.00,87.00,1852,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,7439247648,174.45,129.48,11.94,0.41,0.03,16.03,69.92,85909471,27.09,201.54,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16013,0,0,5032,9.94,77.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2025/02/17,22:44:19:122,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,56.09,50.00,87.00,1830,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,8443983360,174.89,129.98,11.83,0.41,0.03,16.03,70.34,86914197,27.01,201.89,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16012,0,0,5031,9.66,63.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2025/02/17,22:44:20:124,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,56.94,52.00,87.00,1837,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,9447927040,173.95,128.49,12.52,0.41,0.03,16.03,70.76,87918157,27.57,201.52,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128125,0,55000,60000,60000,0,8000,0,AC,60,59950,16012,0,0,4998,10.19,70.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,2025/02/17,22:44:21:127,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,57.44,52.00,87.00,1837,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,10450506080,175.15,130.29,11.74,0.41,0.03,16.04,71.18,88920700,28.98,204.12,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128250,0,55000,60000,60000,0,8000,0,AC,60,59950,16011,0,0,4965,10.70,67.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,2025/02/17,22:44:22:138,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,58.16,52.00,87.00,1837,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,11463645280,174.45,129.96,11.45,0.42,0.03,16.04,71.60,89933861,27.55,201.99,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128250,0,55000,60000,60000,0,8000,0,AC,60,59950,16011,0,0,5003,9.94,72.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,2025/02/17,22:44:23:145,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,58.59,54.00,87.00,1830,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,12470416352,174.82,129.26,12.47,0.42,0.03,16.04,72.03,90940639,27.55,202.37,765000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128250,0,55000,60000,60000,0,8000,0,AC,60,59950,16011,0,0,5001,9.73,81.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,2025/02/17,22:44:24:148,Active,Enabled,GC-OFF 3.0,Enabled,0,0,0,0,Problem Device,Enabled,50698,237,2328,6,Problem Device,59.06,54.00,87.00,1837,14001,100,100,2,0,P0,Pwr ,D1 - Unlimited,13470828896,174.58,129.18,12.32,0.44,0.03,16.05,72.47,91941056,27.59,202.17,760000,175000,Enabled,275000,150000,175000,150000,70000,25000,0,125000,128250,0,55000,60000,60000,0,8000,0,AC,60,59950,16011,0,0,4991,10.01,81.00,No,No,103,165.00,190.00,16,5,No,No,16,5,No,No,0,0,0,0,0,0,0,0,Yes,0,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No panel connected to dGPU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
