date,time,1:t_gpu,1:t_mem,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:video_util,1:gpu_state,1:p_state,1:gpu_ts_ns,1:pwr_tgp,1:pwr_nvvdd,1:pwr_fbvdd,1:NVVDD,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:pcie_bw_TX,1:pcie_bw_RX,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:d_notifier_limit,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:capping_reason,1:cpu_clk,1:?,1:?,1:cpu_temp,1:cpu_tdp,1:cpu_prochot,1:cpu_pl1,1:cpu_pl2,1:cpu_tcc,1:DB-DC_TPP_Limit,1:DC_CPU_TDP_Limit(mW),1:TPP_Measured,1:DB-DC_ROS_reserve,1:DB-DC_Batt_Current_Limit,1:Batt_Drain_Rate(mW),1:Batt_Voltage,1:ppab_state,1:AC_Target_TPP_Limit,1:AC_Baseline_TGP_mode_2,1:AC_Max_GPU_Offset,1:AC_Min_GPU_Offset,1:AC_TPP_Target,1:DC_ROS_Reserve_Override,1:Highest_Perf,1:Max_Perf_Level,1:AC_DC,1:charge_level,1:full_capacity,1:remaining_capacity,1:fan_rpm,1:fan_arbiter_policy,1:bJPACPlatformEnabled,1:updateEventCount,1:sysTspW,1:SL_Value,1:TbandIndex0_CurrIndex,1:TbandIndex0_CurrTemp,1:TbandIndex1_CurrIndex,1:TbandIndex1_CurrTemp,1:TbandIndex2_CurrIndex,1:TbandIndex2_CurrTemp,1:TbandIndex3_CurrIndex,1:TbandIndex3_CurrTemp,1:TbandIndex4_CurrIndex,1:TbandIndex4_CurrTemp,1:TbandIndex5_CurrIndex,1:TbandIndex5_CurrTemp,1:TbandIndex6_CurrIndex,1:TbandIndex6_CurrTemp,1:TbandIndex7_CurrIndex,1:TbandIndex7_CurrTemp,1:gpu_energy0,1:gpu_energy1,1:gpu_energy3,1:gpu_energy5,1:gpu_energy10,1:gpu_energy12,1:gpu_energy18,1:gpu_energy19,1:gpu_energy27,1:?,1:pwr_ch0,1:pwr_ch1,1:pwr_ch3,1:pwr_ch5,1:pwr_ch10,1:pwr_ch12,1:pwr_ch18,1:pwr_ch19,1:pwr_ch27,1:cpu_ts_ms
2024/04/17,18:52:28,59.7539,52,2355,100 %,8000,97,1,0,ON,0,1713351148431040160,N/A,N/A,N/A,0.935000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,0,?,?,51,1994.76,0,95.00,150.00,97,N/A,N/A,2068.512207,N/A,N/A,0,15721,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1018196,526904,227014,431180,148538,475622,210217,192538,227013,?,73756,65121,5635,70756,3000,8635,109277,105173,5635,92998
2024/04/17,18:52:29,61.2188,52,2355,100 %,8000,98,1,0,ON,0,1713351149522767680,N/A,N/A,N/A,0.930000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,4271,?,?,56,37.22,0,95.00,150.00,97,N/A,N/A,171.359863,N/A,N/A,0,15721,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1174776,664649,233672,576246,151759,485427,316360,294397,233672,?,134141,125122,6019,131141,3000,9019,105959,96241,6019,94094
2024/04/17,18:52:30,62.1367,54,2370,100 %,8000,98,1,0,ON,0,1713351150621249152,N/A,N/A,N/A,0.930000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3755,?,?,53,32.58,0,95.00,150.00,97,N/A,N/A,166.816299,N/A,N/A,0,15721,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1324773,802461,240346,722318,155000,495280,422374,399195,240350,?,134237,125237,6000,131237,3000,9000,104524,102424,6000,95187
2024/04/17,18:52:31,63.4844,54,2370,100 %,8000,98,1,0,ON,0,1713351151736782688,138127,129106,6021,0.935000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3793,?,?,49,26.17,0,95.00,150.00,97,N/A,N/A,164.301208,N/A,N/A,0,15720,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1484354,947192,247155,875069,158291,505298,533010,506324,247156,?,138127,129106,6021,135127,3000,9021,112205,105242,6021,96288
2024/04/17,18:52:32,46.6445,54,2640,100 %,8000,12,0,0,ON,0,1713351152884060416,86567,78033,5534,1.005000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3606,?,?,88,75.60,0,95.00,150.00,97,N/A,N/A,162.164734,N/A,N/A,0,15720,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1591399,1038373,253587,972216,161682,515066,602491,576903,253591,?,86567,78033,5534,83567,3000,8534,8399,8429,5534,97412
2024/04/17,18:52:33,58.4375,54,2235,100 %,8000,99,1,0,ON,0,1713351153995213408,43031,34788,5243,0.890000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3696,?,?,95,145.79,0,95.00,150.00,97,N/A,N/A,188.818756,N/A,N/A,0,15727,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1639890,1074481,259494,1017291,164965,524170,632361,608446,259493,?,43031,34788,5243,40031,3000,8243,89229,88280,5243,98555
2024/04/17,18:52:35,60.8164,54,2205,100 %,8000,99,1,0,ON,0,1713351155109535200,115223,106212,6011,0.885000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3586,?,?,89,136.66,0,95.00,150.00,97,N/A,N/A,251.881744,N/A,N/A,0,15727,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1773277,1192848,266282,1144005,168252,534171,727956,705055,266279,?,115223,106212,6011,112223,3000,9011,89941,85995,6011,99666
2024/04/17,18:52:36,61.9922,54,2190,100 %,8000,99,1,0,ON,0,1713351156216148800,115074,106093,5981,0.880000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3533,?,?,89,132.56,0,95.00,150.00,97,N/A,N/A,247.630951,N/A,N/A,0,15727,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1905625,1310128,272989,1269675,171526,544078,823834,800572,272986,?,115074,106093,5981,112074,3000,8981,89295,88374,5981,100780
2024/04/17,18:52:37,62.4219,56,2220,100 %,8000,99,1,0,ON,0,1713351157329239264,115050,106136,5914,0.885000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,3419,?,?,80,120.34,0,95.00,150.00,97,N/A,N/A,235.390686,N/A,N/A,0,15719,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,2036278,1428255,279661,1396052,174811,553960,917208,896521,279656,?,115050,106136,5914,112050,3000,8914,82596,88071,5914,101892
2024/04/17,18:52:38,63.1992,56,2205,100 %,8000,99,1,0,ON,0,1713351158433905920,115099,106212,5887,0.885000,8,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,,2992,?,?,72,89.54,0,95.00,150.00,97,N/A,N/A,204.643936,N/A,N/A,0,15719,Enabled,170000,60000,25000,0,55000,0,-1,-1,AC,58,61150,35470,0,0,N/A,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,2166262,1545490,286253,1521528,178066,563745,1010070,991617,286246,?,115099,106212,5887,112099,3000,8887,89071,87639,5887,102995
